"","mtry","ntree","errors"
"1",30,250,0.12343840986371
"2",30,200,0.126752503917119
"3",18,250,0.123855601139017
"4",18,200,0.124379694945446
"5",18,250,0.123202094310081
"6",18,200,0.123487396358924
"7",25,200,0.125562750294751
"8",12,200,0.124753359562357
